date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:53:38	19073/19073	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%22a01f8b5ef334d51:0%22	https://artonthehill.org.uk/media/1590/stmichaelallangelsworkshopsandrefreshmentsst-michael-and-all-angels-church-logo-and-name.docx?anchor=center&mode=crop&width=100&height=100&rnd=132070019940000000	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1590/stmichaelallangelsworkshopsandrefreshmentsst-michael-and-all-angels-church-logo-and-name68c2.docx	(from https://artonthehill.org.uk/artists-2019/)
22:53:39	8330/8330	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202020%2021:53:38%20GMT	https://artonthehill.org.uk/artists-2019/sophie-swindells/	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/artists-2019/sophie-swindells/index.html	(from https://artonthehill.org.uk/artists-2019/)
22:53:39	8551/8551	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202020%2021:53:39%20GMT	https://artonthehill.org.uk/artists-2019/st-michael-all-angels-workshops-and-refreshments/	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/artists-2019/st-michael-all-angels-workshops-and-refreshments/index.html	(from https://artonthehill.org.uk/artists-2019/)
22:53:40	7877/7877	---M--	200	added ('OK')	image/jpeg	etag:%22bb4f95d632ed51:0%22	https://artonthehill.org.uk/media/1567/jennyclarkeimg_6334.jpg?anchor=center&mode=crop&width=100&height=100&rnd=132062800340000000	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1567/jennyclarkeimg_633421e8.jpg	(from https://artonthehill.org.uk/artists-2019/)
22:53:40	8426/8426	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202020%2021:53:40%20GMT	https://artonthehill.org.uk/artists-2019/jenny-clarke/	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/artists-2019/jenny-clarke/index.html	(from https://artonthehill.org.uk/artists-2019/)
22:53:40	5926/5926	---M--	200	added ('OK')	image/jpeg	etag:%22ad13a8cc2d2fd51:0%22	https://artonthehill.org.uk/media/1573/stephenmasondsc_2149-version-3.jpg?anchor=center&mode=crop&width=100&height=100&rnd=132063673260000000	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1573/stephenmasondsc_2149-version-38988.jpg	(from https://artonthehill.org.uk/artists-2019/)
22:53:41	8442/8442	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202020%2021:53:40%20GMT	https://artonthehill.org.uk/artists-2019/stephen-mason/	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/artists-2019/stephen-mason/index.html	(from https://artonthehill.org.uk/artists-2019/)
22:53:42	36531/36531	---M--	200	added ('OK')	image/jpeg	etag:%2299d79dd59d8d51:0%22	https://artonthehill.org.uk/media/1452/tessmcdermott2017-02-24-103720.jpg?anchor=center&mode=crop&width=100&height=100&rnd=132010119400000000	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1452/tessmcdermott2017-02-24-10372043a1.jpg	(from https://artonthehill.org.uk/artists-2019/)
22:53:42	8215/8215	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202020%2021:53:41%20GMT	https://artonthehill.org.uk/artists-2019/tess-mcdermott/	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/artists-2019/tess-mcdermott/index.html	(from https://artonthehill.org.uk/artists-2019/)
22:53:42	16703/16703	---M--	200	added ('OK')	image/jpeg	etag:%22282ff4af6f15d51:0%22	https://artonthehill.org.uk/media/1520/jameslynchimg_0279.jpg?anchor=center&mode=crop&width=100&height=100&rnd=132034537400000000	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1520/jameslynchimg_027904ee.jpg	(from https://artonthehill.org.uk/artists-2019/)
